Sample in Buffer,Sample in Window,TRIGGER,LVDS_DATA_0_DBG,LVDS_DATA_1_DBG,LVDS_DATA_2_DBG,LVDS_DATA_3_DBG
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
219,219,0,0,0,1,0
220,220,0,0,0,0,0
221,221,0,0,0,1,1
222,222,0,0,0,0,1
223,223,0,0,0,1,0
224,224,0,0,0,1,0
225,225,0,0,0,0,0
226,226,0,0,0,1,1
227,227,0,0,0,0,1
228,228,0,0,0,1,0
229,229,0,0,0,1,0
230,230,0,0,0,1,0
231,231,0,0,0,1,1
232,232,0,0,0,0,1
233,233,0,0,0,1,1
234,234,0,0,0,0,0
235,235,0,0,0,1,1
236,236,0,0,0,0,1
237,237,0,0,0,0,1
238,238,0,0,0,1,1
239,239,0,0,0,0,0
240,240,0,0,0,1,1
241,241,0,0,0,0,1
242,242,0,0,0,0,1
243,243,0,0,0,1,1
244,244,0,0,0,0,0
245,245,0,0,0,1,1
246,246,0,0,0,0,0
247,247,0,0,0,0,1
248,248,0,0,0,1,0
249,249,0,0,0,0,0
250,250,0,0,0,1,1
251,251,0,0,0,0,0
252,252,0,0,0,1,1
253,253,0,0,0,1,0
254,254,0,0,0,0,0
255,255,0,0,0,1,1
256,256,0,0,0,0,0
257,257,0,0,0,1,1
258,258,0,0,0,1,0
259,259,0,0,0,0,0
260,260,0,0,0,1,1
261,261,0,0,0,0,0
262,262,0,0,0,1,1
263,263,0,0,0,0,0
264,264,0,0,0,1,0
265,265,0,0,0,1,0
266,266,0,0,0,0,0
267,267,0,0,0,1,1
268,268,0,0,0,0,0
269,269,0,0,0,1,0
270,270,0,0,0,1,0
271,271,0,0,0,1,0
272,272,0,0,0,1,1
273,273,0,0,0,1,0
274,274,0,0,0,1,1
275,275,0,0,0,0,0
276,276,0,0,0,1,1
277,277,0,0,0,1,1
278,278,0,0,0,1,0
279,279,0,0,0,1,1
280,280,0,0,0,0,0
281,281,0,0,0,1,0
282,282,0,0,0,0,1
283,283,0,0,0,0,0
284,284,0,0,0,1,1
285,285,0,0,0,0,0
286,286,0,0,0,1,1
287,287,0,0,0,0,1
288,288,0,0,0,0,0
289,289,0,0,0,1,1
290,290,0,0,0,0,0
291,291,0,0,0,1,1
292,292,0,0,0,0,0
293,293,0,0,0,1,0
294,294,0,0,0,1,0
295,295,0,0,0,0,0
296,296,0,0,0,1,1
297,297,0,0,0,0,0
298,298,0,0,0,1,0
299,299,0,0,0,1,0
300,300,0,0,0,0,0
301,301,0,0,0,1,0
302,302,0,0,0,0,0
303,303,0,0,0,1,1
304,304,0,0,0,0,0
305,305,0,0,0,1,0
306,306,0,0,0,1,0
307,307,0,0,0,0,0
308,308,0,0,0,1,0
309,309,0,0,0,0,0
310,310,0,0,0,1,0
311,311,0,0,0,1,0
312,312,0,0,0,1,0
313,313,0,0,0,1,0
314,314,0,0,0,0,0
315,315,0,0,0,1,1
316,316,0,0,0,0,0
317,317,0,0,0,1,1
318,318,0,0,0,1,1
319,319,0,0,0,0,0
320,320,0,0,0,1,1
321,321,0,0,0,0,0
322,322,0,0,0,1,1
323,323,0,0,0,0,1
324,324,0,0,0,0,0
325,325,0,0,0,1,1
326,326,0,0,1,0,0
327,327,0,0,0,1,1
328,328,0,0,0,0,0
329,329,0,0,0,0,0
330,330,0,0,0,1,1
331,331,0,0,0,0,0
332,332,0,0,0,1,1
333,333,0,0,0,0,0
334,334,0,0,0,0,0
335,335,0,0,0,1,1
336,336,0,0,0,0,0
337,337,0,0,0,1,1
338,338,0,0,0,0,0
339,339,0,0,0,1,1
340,340,0,0,0,1,0
341,341,0,0,0,0,0
342,342,0,0,0,1,1
343,343,0,0,0,0,0
344,344,0,0,0,1,1
345,345,0,0,0,0,0
346,346,0,0,0,1,0
347,347,0,0,0,1,1
348,348,0,0,0,0,0
349,349,0,0,0,1,1
350,350,0,0,0,0,0
351,351,0,0,0,1,0
352,352,0,0,0,1,1
353,353,0,0,0,1,0
354,354,0,0,0,1,1
355,355,0,0,0,0,0
356,356,0,0,0,1,1
357,357,0,0,0,1,1
358,358,0,0,0,1,0
359,359,0,0,0,1,1
360,360,0,0,0,0,0
361,361,0,0,0,1,1
362,362,0,0,0,0,0
363,363,0,0,0,1,0
364,364,0,0,0,0,1
365,365,0,0,0,0,0
366,366,0,0,0,1,1
367,367,0,0,0,0,0
368,368,0,0,0,1,0
369,369,0,0,0,0,1
370,370,0,0,0,0,0
371,371,0,0,0,1,1
372,372,0,0,0,0,0
373,373,0,0,0,1,0
374,374,0,0,0,0,0
375,375,0,0,0,0,1
376,376,0,0,0,1,0
377,377,0,0,0,0,0
378,378,0,0,0,1,0
379,379,0,0,0,0,0
380,380,0,0,0,1,1
381,381,0,0,0,1,0
382,382,0,0,0,0,0
383,383,0,0,0,1,1
384,384,0,0,0,0,0
385,385,0,0,0,1,1
386,386,0,0,0,0,0
387,387,0,0,0,1,0
388,388,0,0,0,1,0
389,389,0,0,0,0,0
390,390,0,0,0,1,1
391,391,0,0,0,0,0
392,392,0,0,0,1,0
393,393,0,0,0,1,0
394,394,0,0,0,0,0
395,395,0,0,0,1,1
396,396,0,0,0,0,0
397,397,0,0,0,1,1
398,398,0,0,0,1,0
399,399,0,0,0,1,0
400,400,0,0,0,1,1
401,401,0,0,0,0,0
402,402,0,0,0,1,1
403,403,0,0,0,0,0
404,404,0,0,0,1,1
405,405,0,0,0,0,1
406,406,0,0,0,0,0
407,407,0,0,0,1,1
408,408,0,0,1,0,0
409,409,0,0,0,1,1
410,410,0,0,0,0,1
411,411,0,0,0,0,0
412,412,0,0,0,1,1
413,413,0,0,1,0,0
414,414,0,0,0,1,1
415,415,0,0,0,0,0
416,416,0,0,0,0,0
417,417,0,0,0,1,1
418,418,0,0,0,0,0
419,419,0,0,0,1,1
420,420,0,0,0,0,0
421,421,0,0,0,1,1
422,422,0,0,0,1,1
423,423,0,0,0,0,0
424,424,0,0,0,1,1
425,425,0,0,0,0,0
426,426,0,0,0,1,1
427,427,0,0,0,1,1
428,428,0,0,0,0,0
429,429,0,0,0,1,1
430,430,0,0,0,0,0
431,431,0,0,0,1,1
432,432,0,0,0,0,1
433,433,0,0,0,1,0
434,434,0,0,0,1,0
435,435,0,0,0,0,0
436,436,0,0,0,1,1
437,437,0,0,0,0,1
438,438,0,0,0,1,0
439,439,0,0,0,1,0
440,440,0,0,0,0,0
441,441,0,0,0,1,1
442,442,0,0,0,0,1
443,443,0,0,0,1,1
444,444,0,0,0,0,0
445,445,0,0,0,1,1
446,446,0,0,0,1,1
447,447,0,0,0,0,1
448,448,0,0,0,1,1
449,449,0,0,0,0,0
450,450,0,0,0,1,1
451,451,0,0,0,0,1
452,452,0,0,0,0,1
453,453,0,0,0,1,1
454,454,0,0,0,0,0
455,455,0,0,0,1,1
456,456,0,0,0,0,0
457,457,0,0,0,0,1
458,458,0,0,0,1,1
459,459,0,0,0,0,0
460,460,0,0,0,1,1
461,461,0,0,0,0,0
462,462,0,0,0,1,1
463,463,0,0,0,1,0
464,464,0,0,0,0,0
465,465,0,0,0,1,1
466,466,0,0,0,0,0
467,467,0,0,0,1,1
468,468,0,0,0,1,0
469,469,0,0,0,0,0
470,470,0,0,0,1,1
471,471,0,0,0,0,0
472,472,0,0,0,1,1
473,473,0,0,0,0,0
474,474,0,0,0,1,0
475,475,0,0,0,1,1
476,476,0,0,0,0,0
477,477,0,0,0,1,1
478,478,0,0,0,0,0
479,479,0,0,0,1,0
480,480,0,0,0,1,0
481,481,0,0,0,1,0
482,482,0,0,0,1,1
483,483,0,0,0,0,0
484,484,0,0,0,1,1
485,485,0,0,0,0,0
486,486,0,0,0,1,0
487,487,0,0,0,1,1
488,488,0,0,0,1,0
489,489,0,0,0,1,1
490,490,0,0,0,0,0
491,491,0,0,0,1,0
492,492,0,0,0,0,1
493,493,0,0,0,1,0
494,494,0,0,0,1,1
495,495,0,0,1,0,0
496,496,0,0,0,1,0
497,497,0,0,0,0,1
498,498,0,0,0,0,0
499,499,0,0,0,1,1
500,500,0,0,0,0,0
501,501,0,0,0,1,1
502,502,0,0,0,0,0
503,503,0,0,0,0,0
504,504,0,0,0,1,1
505,505,0,0,0,0,0
506,506,0,0,0,1,1
507,507,0,0,0,0,0
508,508,0,0,0,1,0
509,509,0,0,0,1,0
510,510,0,0,0,0,0
511,511,0,0,0,1,1
512,512,0,0,0,0,0
513,513,0,0,0,1,0
514,514,0,0,0,0,0
515,515,0,0,0,1,0
516,516,0,0,0,1,0
517,517,0,0,0,0,0
518,518,0,0,0,1,1
519,519,0,0,0,0,0
520,520,0,0,0,1,0
521,521,0,0,0,1,0
522,522,0,0,0,1,0
523,523,0,0,0,1,0
524,524,0,0,0,0,0
525,525,0,0,0,1,0
526,526,0,0,0,1,0
527,527,0,0,0,1,0
528,528,0,0,0,1,1
529,529,0,0,0,0,0
530,530,0,0,0,1,1
531,531,0,0,0,0,0
532,532,0,0,0,1,1
533,533,0,0,0,0,1
534,534,0,0,0,0,0
535,535,0,0,0,1,1
536,536,0,0,1,0,0
537,537,0,0,0,1,1
538,538,0,0,0,0,1
539,539,0,0,0,0,0
540,540,0,0,0,1,1
541,541,0,0,0,0,0
542,542,0,0,0,1,1
543,543,0,0,0,0,0
544,544,0,0,0,0,0
545,545,0,0,0,1,1
